	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
100469_at	121.14000	110.19000	101.80000	115.96000	106.11000	99.09000	96.27000	97.17000	101.02000	107.55000	95.85000	111.00000	77.37000	67.79000	92.14000	89.42000	83.21000	78.95000	100.10000	105.70000	84.41000	85.82000	97.54000	74.70000	89.02000	92.62000	
100470_at	1727.51000	1682.96000	1500.74000	1605.18000	2074.28000	1726.41000	1531.11000	2572.04000	2162.34000	2303.41000	2024.34000	2564.47000	2892.03000	2116.64000	1469.51000	1488.46000	1307.61000	1492.12000	1556.30000	1445.84000	817.72000	760.97000	1127.65000	1055.33000	939.64000	962.26000	
100471_at	38.40000	49.19000	38.42000	58.69000	38.58000	59.37000	47.54000	56.83000	35.86000	46.33000	40.85000	59.49000	22.38000	35.30000	45.39000	40.77000	34.80000	44.65000	36.79000	52.47000	92.44000	88.46000	80.45000	82.98000	108.02000	119.95000	
100472_at	767.38000	835.34000	740.04000	550.57000	539.85000	711.64000	703.73000	571.50000	552.83000	509.94000	634.76000	558.30000	322.02000	483.46000	298.66000	283.66000	275.35000	202.72000	226.06000	266.76000	380.19000	337.47000	279.94000	304.54000	333.83000	359.29000	
100473_at	115.83000	170.85000	135.21000	114.62000	131.61000	138.86000	98.08000	146.69000	184.09000	170.94000	126.20000	148.02000	205.16000	190.82000	353.47000	295.31000	268.37000	318.88000	361.71000	302.36000	267.26000	289.16000	344.30000	340.78000	255.16000	267.56000	
100474_at	6.38000	20.05000	40.64000	60.81000	24.51000	28.81000	30.08000	14.97000	21.64000	9.64000	31.48000	NaN	0.38000	7.10000	23.95000	15.71000	6.72000	NaN	17.99000	5.16000	54.08000	54.18000	59.12000	23.16000	25.90000	46.47000	
100475_at	63.48000	59.81000	56.97000	44.93000	65.31000	92.57000	76.83000	104.53000	65.03000	58.10000	65.33000	89.66000	110.37000	98.41000	31.98000	28.16000	28.90000	34.37000	34.24000	29.80000	30.57000	26.29000	38.08000	46.59000	50.48000	37.65000	
100476_at	6.04000	4.60000	11.07000	10.56000	10.45000	5.11000	6.29000	0.91000	3.89000	3.71000	12.19000	9.64000	15.28000	7.79000	4.78000	9.67000	13.19000	21.14000	5.37000	1.69000	2.82000	9.74000	8.69000	2.03000	9.30000	2.48000	
100477_at	3.33000	6.16000	8.14000	0.86000	26.57000	NaN	5.22000	15.93000	11.84000	24.48000	1.09000	NaN	9.01000	0.91000	1.70000	NaN	2.26000	NaN	7.83000	4.27000	7.07000	NaN	5.23000	9.25000	4.56000	6.26000	
100479_at	22.70000	21.47000	17.38000	8.85000	16.86000	17.68000	18.10000	13.80000	6.62000	11.13000	16.74000	NaN	7.64000	13.59000	40.59000	38.14000	30.27000	23.04000	42.39000	58.32000	47.25000	33.53000	29.86000	26.87000	47.03000	46.08000	
100481_at	6.83000	26.21000	25.48000	76.17000	40.80000	20.43000	18.39000	11.42000	10.94000	22.94000	18.56000	46.92000	17.80000	16.31000	42.64000	38.08000	102.30000	128.85000	17.55000	12.37000	40.43000	27.13000	51.93000	71.50000	31.24000	31.64000	
100482_at	312.02000	484.40000	297.47000	331.81000	259.11000	296.47000	307.54000	428.41000	352.38000	357.65000	339.15000	357.25000	288.71000	312.24000	318.20000	276.11000	251.24000	289.47000	273.18000	248.64000	348.04000	329.78000	360.80000	353.86000	340.89000	353.16000	
100483_at	26.60000	31.90000	15.84000	42.92000	42.53000	1.94000	4.00000	11.77000	16.97000	10.68000	7.96000	25.79000	NaN	9.69000	49.83000	36.47000	62.90000	66.11000	17.70000	36.02000	53.92000	48.32000	43.55000	24.80000	42.62000	44.92000	
100484_at	6.78000	6.78000	13.21000	12.12000	5.35000	8.49000	7.00000	17.00000	13.30000	9.30000	11.24000	4.85000	24.29000	0.97000	13.34000	7.76000	5.84000	2.84000	NaN	2.11000	11.73000	7.73000	10.15000	NaN	6.89000	16.51000	
100486_at	460.44000	248.38000	289.13000	381.20000	284.03000	373.70000	366.80000	282.02000	310.39000	277.59000	296.48000	257.68000	273.29000	303.63000	225.23000	186.44000	208.90000	220.80000	173.51000	199.17000	159.37000	160.29000	142.90000	169.78000	157.35000	156.13000	
100488_at	171.23000	137.82000	133.58000	142.33000	146.17000	149.18000	158.67000	167.24000	178.58000	169.21000	181.65000	151.94000	211.42000	202.89000	211.20000	184.46000	169.34000	252.83000	211.58000	202.93000	198.21000	177.48000	239.72000	215.74000	238.85000	210.38000	
100489_at	57.15000	39.62000	58.59000	53.55000	55.44000	53.14000	47.28000	40.75000	41.70000	52.81000	56.18000	62.21000	43.69000	32.43000	62.12000	64.01000	62.23000	54.56000	63.54000	60.66000	51.35000	53.10000	39.51000	25.58000	51.59000	53.73000	
100491_at	98.44000	144.69000	83.62000	97.77000	98.87000	68.53000	64.61000	115.84000	100.76000	87.27000	81.11000	107.41000	167.50000	98.38000	144.07000	113.86000	112.13000	124.81000	115.97000	100.09000	73.80000	79.19000	61.18000	55.76000	65.53000	71.98000	
100492_at	751.74000	503.69000	332.52000	495.86000	649.59000	446.31000	464.33000	438.66000	415.59000	488.88000	463.25000	489.64000	514.49000	362.76000	890.08000	776.58000	684.34000	638.36000	852.01000	728.84000	458.09000	504.28000	609.61000	583.86000	523.94000	567.99000	
100493_at	17.96000	11.00000	4.75000	7.14000	11.27000	NaN	NaN	11.06000	27.58000	NaN	9.64000	24.59000	NaN	15.16000	NaN	NaN	NaN	24.80000	3.71000	1.29000	NaN	0.50000	NaN	12.18000	NaN	8.02000	
100494_at	73.42000	148.81000	116.47000	139.02000	146.42000	92.19000	128.85000	152.07000	140.32000	207.33000	184.79000	162.17000	147.79000	135.98000	190.03000	182.17000	220.82000	203.54000	216.74000	208.40000	386.11000	353.28000	430.19000	349.99000	295.01000	269.79000	
100495_at	21.52000	14.60000	5.42000	19.45000	3.37000	13.28000	8.93000	22.28000	8.02000	7.52000	5.10000	NaN	14.28000	21.80000	61.19000	57.15000	58.12000	56.39000	44.25000	55.92000	56.15000	41.71000	49.72000	43.15000	52.16000	42.44000	
100496_at	182.81000	104.26000	163.93000	9.60000	14.40000	5.60000	12.67000	106.96000	226.70000	45.24000	20.56000	14.22000	20.47000	10.90000	284.19000	302.55000	56.93000	38.34000	26.90000	26.38000	594.61000	621.66000	41.47000	47.72000	40.54000	33.87000	
100497_at	38.85000	15.40000	24.16000	28.08000	40.39000	21.96000	41.08000	20.40000	34.33000	5.79000	44.08000	56.96000	6.11000	38.32000	33.47000	20.03000	35.59000	44.75000	27.65000	40.34000	52.69000	45.23000	55.88000	62.48000	50.52000	44.60000	
100498_g_at	7.51000	15.83000	17.30000	16.36000	24.35000	20.32000	21.15000	19.64000	5.94000	12.16000	13.28000	NaN	NaN	9.66000	29.35000	23.64000	24.74000	32.03000	28.09000	23.73000	32.61000	25.96000	29.54000	14.99000	20.55000	33.23000	
100499_at	198.90000	205.97000	202.62000	155.08000	182.86000	210.47000	260.96000	192.56000	224.59000	245.16000	164.41000	180.65000	216.69000	226.78000	73.07000	48.48000	63.09000	60.05000	36.44000	52.19000	68.95000	54.87000	64.82000	67.55000	56.06000	70.41000	
100500_at	5.37000	5.54000	6.49000	9.11000	6.33000	8.73000	12.22000	1.83000	7.63000	33.13000	1.64000	14.29000	10.08000	9.93000	6.75000	1.29000	NaN	NaN	NaN	6.50000	5.51000	11.69000	NaN	NaN	6.62000	3.53000	
100501_at	6.83000	NaN	NaN	NaN	3.54000	NaN	NaN	NaN	NaN	NaN	NaN	10.37000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.70000	NaN	NaN	
100502_at	17.34000	10.38000	6.37000	11.83000	17.03000	1.51000	2.48000	NaN	0.58000	8.90000	13.74000	6.85000	NaN	7.88000	NaN	3.44000	3.99000	16.00000	2.26000	NaN	6.54000	7.48000	6.01000	4.65000	2.50000	4.85000	
100505_at	655.84000	412.22000	448.11000	471.46000	414.49000	468.55000	649.07000	426.48000	508.18000	256.38000	474.81000	356.72000	329.50000	436.26000	329.75000	310.67000	270.12000	183.60000	246.86000	258.83000	685.64000	779.76000	663.06000	584.09000	742.99000	743.09000	
100507_at	368.50000	734.30000	731.43000	301.28000	550.38000	545.05000	405.59000	650.35000	498.18000	512.81000	458.29000	454.15000	430.17000	288.84000	574.09000	509.12000	430.45000	377.51000	541.08000	554.22000	77.17000	65.91000	123.38000	111.60000	168.82000	119.98000	
100508_at	79.12000	48.67000	87.23000	86.10000	109.40000	90.64000	103.32000	44.30000	55.33000	92.56000	85.30000	76.90000	94.71000	86.30000	103.14000	92.63000	66.75000	111.49000	105.91000	96.20000	92.18000	87.21000	111.52000	88.45000	89.27000	77.22000	
100509_at	698.25000	751.31000	607.67000	581.55000	501.69000	532.71000	515.22000	1074.10000	751.43000	501.34000	613.56000	682.86000	467.06000	516.70000	238.79000	246.52000	236.86000	194.93000	188.95000	177.70000	156.59000	141.10000	129.11000	105.55000	120.15000	134.87000	
100510_at	308.75000	468.71000	392.41000	280.53000	312.99000	387.06000	381.87000	494.22000	459.63000	389.49000	331.19000	309.19000	520.37000	355.03000	993.24000	1018.48000	703.67000	860.87000	973.84000	837.69000	845.69000	888.25000	1182.38000	760.55000	729.09000	844.70000	
100511_at	44.16000	34.83000	31.72000	55.04000	33.89000	28.39000	44.82000	23.70000	26.71000	51.82000	56.27000	47.12000	61.26000	52.45000	41.92000	44.80000	39.10000	32.25000	37.14000	36.68000	41.82000	35.94000	49.10000	51.35000	29.56000	30.64000	
100512_at	259.78000	273.83000	322.35000	335.61000	422.23000	306.28000	318.86000	280.50000	364.97000	359.13000	519.39000	387.69000	233.57000	284.73000	124.64000	135.63000	185.60000	134.21000	79.07000	94.55000	158.60000	142.75000	137.67000	133.35000	115.44000	124.60000	
100513_at	59.75000	83.27000	57.14000	64.86000	85.79000	65.33000	49.25000	279.43000	235.82000	236.75000	215.54000	260.34000	213.17000	214.43000	130.27000	160.20000	115.51000	113.19000	158.05000	154.37000	59.26000	51.37000	32.66000	59.24000	62.32000	64.81000	
100514_at	258.82000	281.99000	247.24000	212.92000	211.81000	314.94000	302.66000	225.55000	257.66000	270.62000	258.31000	198.26000	262.97000	327.16000	219.76000	224.22000	278.66000	297.99000	296.45000	333.85000	356.53000	422.08000	316.06000	368.81000	440.94000	416.51000	
100515_at	484.10000	286.20000	309.18000	428.73000	416.22000	387.49000	333.41000	255.53000	298.32000	348.25000	432.23000	296.76000	292.30000	249.07000	243.03000	256.18000	249.04000	291.27000	238.22000	196.64000	204.49000	195.17000	204.70000	216.06000	162.66000	166.08000	
100516_at	107.19000	104.12000	117.25000	121.65000	136.05000	103.66000	88.14000	135.99000	100.53000	88.90000	95.44000	84.41000	122.67000	123.05000	150.39000	151.29000	157.39000	157.25000	133.33000	148.01000	133.23000	141.19000	171.45000	169.78000	133.64000	151.96000	
100518_at	13.55000	17.39000	18.49000	16.51000	24.68000	23.09000	13.41000	5.23000	6.75000	NaN	11.42000	NaN	NaN	21.14000	22.82000	28.65000	8.92000	14.26000	4.00000	20.75000	12.86000	14.21000	14.69000	16.60000	5.25000	3.94000	
100521_at	90.47000	98.67000	92.21000	83.57000	75.84000	74.76000	66.97000	53.08000	77.95000	95.68000	76.20000	84.34000	83.79000	87.96000	94.41000	85.31000	94.30000	117.52000	77.70000	87.14000	142.06000	103.49000	123.66000	124.96000	93.76000	86.51000	
100522_s_at	1637.20000	899.84000	1261.25000	1003.58000	1236.24000	1347.69000	1555.31000	633.86000	845.21000	682.11000	751.40000	725.00000	740.80000	914.97000	627.20000	753.69000	739.68000	662.63000	668.80000	759.84000	1340.52000	1279.85000	1103.77000	1234.87000	1376.28000	1313.76000	
100523_r_at	106.29000	116.96000	142.62000	197.11000	219.13000	127.75000	152.74000	88.90000	176.63000	137.31000	145.53000	106.01000	205.92000	196.37000	90.93000	102.56000	91.07000	185.65000	113.51000	112.65000	197.39000	141.39000	231.53000	253.07000	209.47000	182.41000	
100525_at	84.43000	164.93000	122.16000	150.84000	140.17000	99.38000	82.60000	119.60000	106.28000	129.30000	114.96000	150.08000	143.59000	136.82000	144.27000	130.07000	134.39000	163.31000	155.70000	112.06000	131.09000	121.83000	123.69000	153.38000	121.86000	132.50000	
100526_f_at	10.07000	3.40000	7.37000	18.91000	NaN	10.39000	14.01000	NaN	18.50000	10.88000	12.36000	15.84000	11.20000	12.58000	15.14000	15.31000	12.64000	14.62000	5.80000	7.90000	14.12000	26.19000	12.50000	NaN	16.42000	9.42000	
100527_at	283.96000	242.46000	204.40000	321.25000	308.71000	308.60000	297.16000	287.04000	304.16000	242.29000	219.55000	276.09000	323.85000	296.93000	528.66000	476.51000	424.52000	488.97000	514.59000	503.46000	514.05000	470.32000	513.78000	560.35000	592.44000	571.56000	
100528_at	127.80000	219.57000	126.31000	124.29000	151.44000	110.58000	106.82000	191.04000	143.17000	172.37000	120.69000	176.26000	142.45000	131.96000	299.38000	296.96000	303.92000	320.05000	304.66000	293.75000	259.61000	265.88000	331.00000	295.79000	243.76000	260.63000	
100529_at	120.86000	72.98000	68.05000	99.86000	57.99000	124.56000	109.08000	64.04000	108.26000	83.37000	88.12000	56.96000	93.34000	86.73000	242.28000	210.38000	238.96000	187.29000	190.86000	212.08000	204.16000	196.34000	210.77000	219.96000	241.48000	266.62000	
100530_at	201.33000	220.19000	222.73000	253.45000	250.72000	241.86000	231.14000	191.30000	172.51000	225.43000	247.12000	223.32000	224.33000	295.54000	563.62000	539.55000	471.15000	594.18000	518.82000	516.15000	450.22000	490.11000	541.96000	597.29000	472.91000	460.77000	
100533_s_at	64.38000	49.57000	64.68000	59.13000	50.75000	59.76000	70.90000	74.03000	106.60000	47.77000	89.71000	71.25000	81.27000	74.16000	29.50000	27.42000	21.22000	42.38000	37.98000	28.68000	33.33000	40.18000	38.60000	43.62000	31.64000	43.71000	
100534_at	788.50000	1275.10000	1025.84000	796.32000	591.35000	656.52000	646.50000	1618.91000	1129.86000	786.54000	717.28000	967.72000	958.41000	695.20000	564.93000	598.63000	507.82000	432.29000	492.74000	518.48000	491.64000	555.36000	398.19000	453.94000	464.54000	458.95000	
100535_at	241.71000	233.83000	257.45000	257.47000	284.20000	310.00000	279.61000	287.81000	417.28000	378.56000	357.35000	363.36000	329.96000	380.97000	125.53000	140.94000	151.99000	160.50000	144.58000	146.11000	151.49000	157.65000	152.21000	168.49000	139.44000	150.18000	
100536_at	646.75000	1157.14000	592.59000	945.68000	820.19000	1137.78000	1256.91000	792.13000	329.76000	873.32000	656.14000	869.89000	1205.50000	1424.25000	910.55000	1062.09000	1311.27000	1124.17000	1925.40000	1734.98000	1025.43000	991.83000	1327.80000	1341.05000	1833.45000	1356.88000	
100537_at	NaN	NaN	NaN	NaN	NaN	0.96000	6.07000	10.96000	7.59000	13.99000	NaN	26.72000	1.30000	NaN	3.05000	7.35000	2.03000	1.10000	14.51000	NaN	NaN	NaN	NaN	NaN	1.00000	NaN	
100538_at	4261.08000	3053.36000	2728.11000	3462.51000	4543.31000	2958.42000	3321.68000	3423.03000	2697.03000	2929.36000	3168.30000	3555.79000	2596.36000	2669.07000	686.04000	746.23000	758.17000	629.08000	613.44000	742.50000	905.11000	1010.56000	1143.44000	1307.58000	867.86000	999.03000	
100539_at	276.61000	585.44000	482.36000	480.76000	372.79000	403.49000	445.65000	500.57000	503.37000	466.87000	329.14000	467.71000	732.17000	421.31000	1185.19000	1257.81000	1101.65000	1029.72000	1261.88000	1159.95000	1232.15000	1273.46000	1414.70000	1338.90000	1296.34000	1292.08000	
100540_at	167.56000	325.11000	316.74000	252.11000	235.50000	219.30000	222.28000	251.17000	233.42000	262.07000	211.86000	275.03000	169.87000	168.77000	355.15000	322.27000	328.00000	297.80000	282.38000	290.27000	440.19000	436.83000	369.82000	422.78000	363.58000	377.58000	
100542_at	18.35000	25.50000	15.12000	16.77000	9.13000	17.37000	18.20000	3.65000	12.79000	13.10000	16.97000	41.27000	16.80000	12.92000	1.57000	4.86000	5.60000	9.56000	11.37000	14.71000	9.62000	9.74000	13.60000	6.79000	1.26000	9.61000	
100543_s_at	91.38000	111.85000	140.94000	121.24000	126.92000	121.47000	127.78000	148.57000	144.34000	167.13000	147.67000	143.63000	184.91000	149.23000	166.66000	162.21000	175.94000	132.44000	163.76000	152.94000	156.73000	132.14000	141.90000	143.31000	141.41000	143.85000	
100544_at	27.73000	16.97000	24.82000	16.25000	26.16000	17.17000	7.50000	21.36000	16.29000	14.39000	30.39000	42.87000	34.91000	9.72000	15.59000	26.13000	31.00000	36.89000	31.25000	31.14000	33.60000	28.00000	16.50000	36.28000	25.90000	28.43000	
100546_at	46.48000	48.81000	21.26000	21.87000	32.08000	19.15000	24.29000	17.46000	25.25000	11.42000	24.70000	41.27000	25.21000	19.48000	18.07000	17.04000	25.44000	27.80000	14.74000	20.02000	9.77000	18.06000	13.54000	16.09000	26.50000	17.36000	
100547_at	196.93000	142.51000	134.82000	150.51000	134.08000	131.11000	179.53000	126.19000	110.27000	103.94000	116.32000	126.35000	90.43000	116.95000	125.92000	134.19000	116.70000	117.08000	111.13000	129.85000	195.32000	230.99000	211.70000	189.50000	248.56000	236.44000	
100548_at	311.97000	617.29000	314.88000	411.44000	370.08000	348.10000	304.14000	357.22000	337.13000	601.71000	307.99000	336.78000	342.71000	297.05000	733.38000	567.81000	664.97000	759.10000	846.90000	711.64000	492.43000	578.22000	890.33000	975.59000	1025.12000	948.16000	
100549_at	35.97000	15.54000	31.23000	30.98000	41.54000	35.92000	31.94000	32.73000	26.61000	22.50000	43.63000	17.61000	42.62000	45.69000	39.68000	35.86000	32.79000	36.35000	29.28000	24.64000	40.79000	33.09000	33.34000	29.56000	20.68000	24.65000	
100550_f_at	3972.26000	2120.96000	2569.49000	4172.40000	4921.45000	3434.72000	3960.28000	2484.10000	2410.66000	3571.96000	3881.26000	3673.36000	3913.91000	4508.83000	1597.37000	1765.34000	2915.93000	3036.63000	2464.91000	2711.84000	1933.26000	1873.47000	2165.64000	2564.64000	2110.64000	2156.23000	
100551_r_at	10.00000	15.54000	11.20000	14.28000	1.40000	11.81000	15.72000	9.59000	15.51000	2.72000	41.72000	18.41000	19.25000	40.68000	35.89000	13.91000	12.00000	32.19000	21.18000	0.94000	11.74000	14.97000	15.88000	35.85000	8.57000	11.05000	
100552_at	28.97000	21.71000	15.20000	5.02000	21.63000	17.56000	20.46000	5.58000	16.52000	16.07000	16.33000	NaN	23.30000	12.35000	17.78000	21.35000	10.71000	14.99000	9.89000	10.33000	17.65000	25.53000	14.63000	11.64000	7.00000	10.27000	
100553_at	170.21000	197.01000	203.40000	262.68000	303.12000	186.44000	217.90000	141.21000	156.18000	167.77000	161.50000	131.00000	138.70000	122.12000	209.32000	191.75000	166.98000	159.90000	169.07000	161.22000	184.43000	229.17000	222.22000	185.09000	192.84000	208.36000	
100554_at	16.21000	20.95000	18.22000	28.67000	32.57000	17.96000	27.87000	28.11000	18.50000	25.42000	24.02000	14.29000	29.56000	40.10000	33.50000	41.97000	34.94000	42.35000	29.07000	18.28000	24.00000	19.22000	16.06000	10.19000	27.79000	6.49000	
100555_at	310.72000	271.70000	295.85000	271.08000	257.79000	277.91000	276.65000	271.67000	390.48000	300.63000	324.50000	278.22000	292.91000	364.42000	315.73000	337.28000	301.44000	293.70000	256.23000	279.97000	317.96000	298.32000	334.58000	339.80000	292.80000	284.71000	
100556_at	14.85000	1.18000	10.27000	2.79000	1.23000	0.96000	7.22000	15.32000	8.83000	9.79000	3.28000	NaN	NaN	5.04000	4.29000	NaN	1.28000	0.63000	1.31000	4.08000	3.87000	3.48000	NaN	0.86000	2.66000	NaN	
100557_g_at	97.81000	96.54000	105.70000	73.12000	65.89000	71.23000	79.83000	68.40000	103.48000	73.53000	85.80000	73.91000	90.20000	81.65000	450.08000	383.04000	422.63000	344.50000	500.05000	523.76000	456.94000	436.88000	425.58000	427.00000	551.90000	553.75000	
100558_at	3.73000	NaN	NaN	18.71000	NaN	4.00000	NaN	0.36000	9.48000	1.24000	4.91000	NaN	NaN	17.15000	NaN	0.89000	NaN	3.38000	3.25000	10.37000	NaN	6.89000	2.43000	NaN	4.94000	2.80000	
100559_at	115.15000	116.11000	92.68000	126.63000	136.71000	105.92000	113.37000	86.51000	119.90000	138.80000	112.14000	108.34000	105.63000	126.04000	75.15000	75.58000	96.98000	99.31000	88.21000	90.47000	90.43000	99.59000	106.44000	104.34000	97.81000	89.13000	
100560_at	2841.98000	1796.65000	1655.33000	1882.43000	2495.68000	1995.96000	1997.54000	2493.80000	2897.80000	2137.07000	2944.65000	2796.90000	2313.99000	2055.46000	907.54000	886.42000	976.05000	971.44000	922.92000	1080.63000	721.78000	833.19000	799.02000	839.62000	901.10000	934.41000	
100561_at	80.65000	78.20000	68.19000	33.88000	52.23000	89.47000	82.29000	69.72000	72.53000	37.68000	67.92000	46.39000	60.95000	81.26000	85.68000	95.93000	49.60000	43.99000	60.56000	45.97000	69.98000	79.76000	54.48000	31.40000	48.91000	41.96000	
100562_at	8.19000	4.27000	NaN	19.41000	11.19000	9.49000	9.91000	17.61000	32.74000	18.20000	NaN	11.30000	9.70000	22.80000	32.28000	38.59000	38.49000	67.31000	46.92000	39.43000	33.02000	39.16000	36.24000	33.15000	44.72000	42.25000	
100564_at	162.76000	172.18000	158.92000	201.98000	222.34000	158.31000	166.00000	182.37000	180.52000	244.46000	145.03000	205.57000	251.59000	207.55000	179.89000	156.46000	169.66000	181.10000	177.52000	192.84000	253.96000	315.11000	337.51000	296.89000	381.54000	354.66000	
100565_at	70.65000	64.93000	75.30000	55.67000	55.52000	46.16000	44.92000	55.41000	66.78000	60.67000	72.97000	69.79000	75.31000	79.99000	109.20000	99.92000	77.61000	79.46000	62.99000	70.71000	116.83000	117.06000	83.72000	104.10000	104.35000	87.29000	
100566_at	306.66000	358.43000	252.56000	274.13000	181.95000	294.38000	261.67000	455.76000	433.22000	581.98000	441.42000	346.15000	321.48000	386.67000	428.32000	536.96000	562.62000	619.30000	726.92000	672.00000	611.14000	614.83000	660.51000	819.36000	723.64000	704.25000	
100567_at	13.67000	4.83000	12.47000	4.28000	23.61000	8.51000	7.55000	22.12000	12.43000	12.71000	22.15000	3.99000	23.52000	22.98000	14.40000	11.94000	NaN	12.15000	6.73000	6.99000	NaN	3.56000	14.57000	3.05000	5.80000	5.69000	
100568_at	394.93000	411.08000	398.13000	352.57000	428.15000	408.39000	350.08000	524.62000	485.72000	503.32000	543.73000	658.20000	579.34000	415.06000	430.25000	400.60000	428.16000	417.56000	513.28000	477.31000	307.52000	321.89000	308.12000	386.23000	359.95000	385.30000	
100569_at	26.60000	59.90000	57.18000	74.31000	78.72000	62.63000	42.89000	89.56000	63.77000	115.80000	63.05000	113.32000	67.29000	92.77000	46.56000	51.66000	54.62000	83.63000	55.27000	62.71000	117.87000	105.92000	173.50000	177.48000	175.15000	148.86000	
100570_at	153.05000	222.65000	185.48000	176.73000	145.60000	210.98000	213.47000	193.33000	185.49000	139.88000	160.95000	170.68000	217.99000	162.82000	231.40000	232.82000	237.61000	188.52000	217.59000	242.47000	292.51000	322.19000	334.18000	346.28000	340.16000	324.32000	
100571_at	1129.10000	1031.97000	794.19000	1140.52000	840.34000	941.56000	861.73000	1295.23000	1034.46000	1204.76000	1211.61000	1566.37000	1193.96000	1162.08000	538.26000	526.57000	555.85000	590.96000	569.89000	595.80000	470.23000	495.61000	459.39000	461.40000	438.33000	460.86000	
100572_at	361.61000	290.61000	361.25000	302.69000	300.24000	347.63000	366.13000	351.39000	342.09000	328.23000	486.50000	319.96000	243.88000	148.12000	440.78000	479.00000	458.06000	376.03000	405.78000	473.70000	468.11000	519.51000	524.86000	405.13000	447.82000	430.65000	
100573_f_at	193.43000	166.66000	138.00000	599.14000	672.73000	452.23000	480.42000	78.65000	154.03000	834.00000	427.48000	480.54000	426.20000	411.94000	137.12000	150.05000	628.25000	573.91000	585.38000	542.23000	168.01000	141.88000	684.76000	617.81000	549.55000	568.37000	
100574_f_at	3721.46000	2261.10000	2646.90000	2523.34000	2289.55000	2709.90000	2934.86000	2004.80000	2504.60000	2369.32000	2010.23000	2023.85000	2936.63000	2760.96000	3274.39000	3020.52000	3222.65000	2871.34000	2700.00000	2893.71000	3188.67000	2991.78000	2998.53000	3484.86000	2906.13000	2791.53000	
100575_at	22.99000	45.12000	18.68000	27.67000	23.77000	14.36000	26.06000	36.13000	17.88000	10.88000	4.14000	20.67000	24.21000	16.19000	80.46000	80.14000	70.42000	46.36000	97.98000	81.13000	88.29000	107.27000	90.97000	69.00000	111.08000	97.20000	
100576_at	83.58000	113.17000	90.95000	117.75000	122.32000	81.61000	103.53000	66.83000	92.09000	66.36000	80.89000	79.62000	80.05000	75.10000	90.94000	77.40000	78.66000	76.40000	86.20000	67.56000	271.40000	280.57000	287.04000	234.02000	293.09000	264.44000	
100577_at	70.48000	60.85000	90.73000	68.17000	55.52000	104.87000	115.80000	47.70000	64.93000	36.49000	52.54000	57.36000	65.92000	95.42000	79.42000	98.86000	99.13000	91.48000	80.43000	96.22000	117.39000	150.87000	117.65000	94.89000	119.11000	107.31000	
100578_at	204.89000	155.12000	202.47000	193.28000	170.19000	172.80000	207.73000	103.01000	158.33000	114.86000	115.32000	77.63000	178.58000	140.08000	196.35000	209.77000	196.06000	151.03000	175.19000	225.29000	209.54000	192.82000	202.08000	196.88000	240.09000	225.99000	
100579_s_at	588.02000	953.40000	802.70000	1023.30000	863.04000	679.00000	674.08000	896.25000	797.47000	868.03000	742.76000	826.82000	916.55000	629.19000	785.48000	762.88000	812.95000	844.05000	902.20000	816.80000	771.66000	808.22000	946.12000	831.38000	847.87000	826.34000	
100580_at	79.35000	34.74000	47.58000	35.52000	85.88000	54.52000	57.40000	26.49000	41.47000	53.60000	58.87000	90.19000	53.47000	77.24000	47.45000	69.95000	38.47000	77.22000	35.34000	29.69000	51.58000	65.45000	52.61000	75.75000	41.11000	34.67000	
100581_at	327.67000	224.07000	297.02000	337.88000	345.07000	363.04000	403.02000	259.70000	272.20000	302.61000	308.80000	333.65000	348.06000	408.60000	375.32000	375.11000	355.73000	427.97000	426.03000	426.55000	462.94000	500.21000	499.83000	638.84000	496.47000	494.02000	
100582_at	143.33000	293.12000	228.38000	241.55000	192.98000	182.78000	204.35000	208.60000	250.81000	234.97000	191.48000	198.00000	372.50000	206.46000	224.43000	215.24000	216.67000	217.05000	256.73000	254.98000	295.59000	330.92000	258.24000	295.79000	311.93000	308.95000	
100583_at	8.19000	NaN	NaN	4.28000	19.58000	1.40000	NaN	3.15000	15.84000	NaN	0.91000	31.37000	25.97000	24.52000	2.79000	0.69000	1.21000	9.75000	NaN	5.87000	5.05000	3.59000	NaN	6.76000	NaN	0.98000	
100584_at	27.45000	40.66000	51.82000	34.22000	19.00000	25.39000	17.24000	77.63000	60.36000	48.95000	75.84000	67.46000	56.52000	40.01000	33.36000	15.03000	13.84000	3.76000	24.00000	13.40000	18.61000	12.96000	7.94000	16.87000	16.18000	20.16000	
100585_at	6.04000	11.61000	20.03000	14.10000	7.49000	12.28000	15.43000	15.48000	13.27000	10.33000	NaN	12.89000	23.07000	22.95000	14.70000	6.40000	4.32000	20.48000	NaN	12.63000	15.49000	8.97000	6.63000	26.71000	10.78000	12.82000	
100586_i_at	39.34000	3.16000	28.54000	21.38000	37.29000	33.62000	22.35000	15.22000	13.95000	20.44000	43.37000	15.07000	24.44000	16.76000	51.07000	39.66000	32.87000	26.93000	38.06000	36.14000	71.50000	57.97000	48.26000	26.88000	32.84000	44.04000	
